location_name,city,country,location_type,day_id,address,description
Buckingham Palace,London,United Kingdom,palace,london_royal_parks,"London SW1A 1AA","Official residence of the British monarch"
Hyde Park,London,United Kingdom,park,london_royal_parks,"London W2 2UH","Large royal park with Speaker's Corner"
Kensington Palace,London,United Kingdom,palace,london_royal_parks,"Kensington Gardens, London W8 4PX","Former home of Princess Diana, now a royal residence"
St. Paul's Cathedral,London,United Kingdom,cathedral,london_churches_cathedrals,"St. Paul's Churchyard, London EC4M 8AD","Iconic cathedral with famous dome designed by Christopher Wren"
Bank of England Museum,London,United Kingdom,museum,london_historic_city,"Bartholomew Ln, London EC2R 8AH","Museum exploring the history of British banking"
Leadenhall Market,London,United Kingdom,market,london_historic_city,"Gracechurch St, London EC3V 1LT","Victorian covered market with beautiful architecture"
British Museum,London,United Kingdom,museum,london_british_museum,"Great Russell St, Bloomsbury, London WC1B 3DG","World-renowned museum with artifacts from around the globe"
Rosetta Stone,London,United Kingdom,artifact,london_british_museum,"British Museum, London WC1B 3DG","Ancient stone key to understanding Egyptian hieroglyphs"
Tate Modern,London,United Kingdom,museum,london_tate_bankside,"Bankside, London SE1 9TG","Leading modern art gallery in former power station"
Shakespeare's Globe,London,United Kingdom,theatre,london_tate_bankside,"21 New Globe Walk, Bankside, London SE1 9DT","Reconstruction of Shakespeare's original theatre"
Borough Market,London,United Kingdom,market,london_tate_bankside,"8 Southwark St, London SE1 1TL","Historic food market with artisanal produce"
Victoria & Albert Museum,London,United Kingdom,museum,london_south_kensington,"Cromwell Rd, Knightsbridge, London SW7 2RL","World's largest museum of decorative arts and design"
Natural History Museum,London,United Kingdom,museum,london_south_kensington,"Cromwell Rd, South Kensington, London SW7 5BD","Famous museum with dinosaur exhibits and beautiful architecture"
National Gallery,London,United Kingdom,museum,london_national_covent,"Trafalgar Sq, Charing Cross, London WC2N 5DN","National gallery housing European paintings"
Trafalgar Square,London,United Kingdom,square,london_national_covent,"Trafalgar Square, London WC2N 5DN","Famous public square with Nelson's Column"
Covent Garden,London,United Kingdom,district,london_national_covent,"Covent Garden, London WC2E 9DD","Historic market area with street performers and shops"
Camden Market,London,United Kingdom,market,london_camden_regents,"Camden Lock Pl, London NW1 8AF","Alternative market known for unique fashion and crafts"
Regent's Park,London,United Kingdom,park,london_camden_regents,"Chester Rd, London NW1 4NR","Large park with zoo, boating lake, and open-air theatre"
Portobello Road Market,London,United Kingdom,market,london_notting_portobello,"Portobello Rd, London W11","Famous antiques market in Notting Hill"
Little Venice,London,United Kingdom,area,london_notting_portobello,"Blomfield Rd, Little Venice, London W9","Picturesque canal area with narrowboats"
Shoreditch Street Art,London,United Kingdom,street_art,london_east_hipster,"Shoreditch, London E1","Vibrant street art scene in trendy East London"
Brick Lane,London,United Kingdom,street,london_east_hipster,"Brick Ln, London E1 6QL","Famous for curry houses and alternative culture"
Royal Observatory Greenwich,London,United Kingdom,observatory,london_greenwich_trip,"Blackheath Ave, London SE10 8XJ","Historic observatory marking the Prime Meridian"
Cutty Sark,London,United Kingdom,ship,london_greenwich_trip,"King William Walk, Greenwich, London SE10 9HT","Historic tea clipper ship museum"
Warner Bros. Studio Tour,London,United Kingdom,studio,london_harry_potter,"Studio Tour Dr, Leavesden, Watford WD25 7LR","Behind-the-scenes Harry Potter film studio experience"
King's Cross Platform 9¾,London,United Kingdom,attraction,london_harry_potter,"Euston Rd, Kings Cross, London N1C 4QP","Famous Harry Potter filming location"
London Eye,London,United Kingdom,observation_wheel,london_thames_river,"Riverside Building, County Hall, London SE1 7PB","Giant observation wheel with panoramic London views"
Dennis Severs' House,London,United Kingdom,house_museum,london_quirky_hidden,"18 Folgate St, Spitalfields, London E1 6BX","Unique historic house experience"
Sir John Soane's Museum,London,United Kingdom,museum,london_quirky_hidden,"13 Lincoln's Inn Fields, Holborn, London WC2A 3BP","Fascinating architect's house museum with eclectic collections"
Windsor Castle,London,United Kingdom,castle,london_windsor_trip,"Windsor SL4 1NJ","Official residence of the Queen with State Apartments"
Senso-ji Temple,Tokyo,Japan,temple,tokyo_classic_temples,"2-3-1 Asakusa, Taito City, Tokyo 111-0032","Ancient Buddhist temple and Tokyo's oldest"
Meiji Shrine,Tokyo,Japan,shrine,tokyo_classic_temples,"1-1 Kamiyamacho, Shibuya City, Tokyo 150-0047","Shinto shrine dedicated to Emperor Meiji"
Asakusa,Tokyo,Japan,district,tokyo_classic_temples,"Asakusa, Taito City, Tokyo","Traditional district with temples and old-world atmosphere"
East Gardens,Tokyo,Japan,garden,tokyo_imperial_district,"1-1 Chiyoda, Chiyoda City, Tokyo 100-8111","Beautiful gardens on former Edo Castle grounds"
Tokyo Station,Tokyo,Japan,station,tokyo_imperial_district,"1 Chome Marunouchi, Chiyoda City, Tokyo 100-0005","Historic railway station with beautiful architecture"
Ginza,Tokyo,Japan,district,tokyo_imperial_district,"Ginza, Chuo City, Tokyo","Upscale shopping and dining district"
Sumo Training Stable,Tokyo,Japan,sports_venue,tokyo_sumo_traditional,"Various locations in Tokyo","Watch sumo wrestlers train in traditional stables"
Chanko Nabe Restaurant,Tokyo,Japan,restaurant,tokyo_sumo_traditional,"Various locations in Tokyo","Traditional sumo wrestler hot pot cuisine"
Traditional Tea House,Tokyo,Japan,tea_house,tokyo_tea_gardens,"Various locations in Tokyo","Experience authentic Japanese tea ceremony"
Hamarikyu Gardens,Tokyo,Japan,garden,tokyo_tea_gardens,"1-1 Hamarikyuteien, Chuo City, Tokyo 104-0046","Traditional Japanese garden with tea house"
Shinjuku Gyoen,Tokyo,Japan,garden,tokyo_tea_gardens,"11 Naitomachi, Shinjuku City, Tokyo 160-0014","Large park with Japanese, English, and French gardens"
Pottery Workshop,Tokyo,Japan,workshop,tokyo_artisan_crafts,"Various locations in Tokyo","Learn traditional Japanese pottery techniques"
Calligraphy Class,Tokyo,Japan,workshop,tokyo_artisan_crafts,"Various locations in Tokyo","Traditional Japanese calligraphy instruction"
Shibuya Crossing,Tokyo,Japan,intersection,tokyo_youth_culture,"2 Chome-2-1 Shibuya, Shibuya City, Tokyo 150-0043","World's busiest pedestrian crossing"
Harajuku,Tokyo,Japan,district,tokyo_youth_culture,"Harajuku, Shibuya City, Tokyo","Youth fashion and pop culture center"
Takeshita Street,Tokyo,Japan,street,tokyo_youth_culture,"Takeshita Dori, Shibuya City, Tokyo 150-0001","Narrow street packed with trendy shops"
Akihabara Electric Town,Tokyo,Japan,district,tokyo_otaku_akihabara,"Soto-Kanda, Chiyoda City, Tokyo","Electronics and anime/manga paradise"
Maid Cafe,Tokyo,Japan,cafe,tokyo_otaku_akihabara,"Various locations in Akihabara","Unique themed cafes with maid-costumed servers"
Tokyo Skytree,Tokyo,Japan,tower,tokyo_skyscrapers_views,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045","Tallest structure in Japan with observation decks"
Tokyo Tower,Tokyo,Japan,tower,tokyo_skyscrapers_views,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011","Iconic red tower inspired by Eiffel Tower"
TeamLab Borderless,Tokyo,Japan,digital_art,tokyo_tech_future,"1-3-15 Toyosu, Koto City, Tokyo 135-0061","Immersive digital art experience"
Robot Restaurant,Tokyo,Japan,show,tokyo_tech_future,"1-7-1 Kabukicho, Shinjuku City, Tokyo 160-0021","Futuristic robot show and dining experience"
Golden Gai,Tokyo,Japan,bar_district,tokyo_nightlife_experience,"1 Chome-1 Kabukicho, Shinjuku City, Tokyo 160-0021","Narrow alleys with tiny bars and unique atmosphere"
Karaoke Box,Tokyo,Japan,entertainment,tokyo_nightlife_experience,"Various locations in Tokyo","Private karaoke rooms for singing with friends"
Tsukiji Outer Market,Tokyo,Japan,market,tokyo_fish_market,"4 Chome Tsukiji, Chuo City, Tokyo 104-0045","Famous fish market with fresh sushi breakfast"
Sushi Restaurant,Tokyo,Japan,restaurant,tokyo_fish_market,"Various locations near Tsukiji","Traditional sushi breakfast experience"
Ramen Museum,Tokyo,Japan,museum,tokyo_ramen_noodles,"3007-6 Shinyokohama, Kohoku New Town, Yokohama","Museum dedicated to ramen history and tasting"
Local Ramen Shop,Tokyo,Japan,restaurant,tokyo_ramen_noodles,"Various locations in Tokyo","Authentic local ramen experience"
Traditional Izakaya,Tokyo,Japan,pub,tokyo_izakaya_sake,"Various locations in Tokyo","Traditional Japanese drinking establishment"
Sake Tasting Bar,Tokyo,Japan,bar,tokyo_izakaya_sake,"Various locations in Tokyo","Sample various types of Japanese sake"
Wagashi Workshop,Tokyo,Japan,workshop,tokyo_sweet_culture,"Various locations in Tokyo","Learn to make traditional Japanese sweets"
Kit-Kat Store,Tokyo,Japan,store,tokyo_sweet_culture,"Various locations in Tokyo","Unique Japanese Kit-Kat flavors"
Mount Fuji 5th Station,Tokyo,Japan,mountain,tokyo_mount_fuji,"Fuji-Hakone-Izu National Park","Closest point to Mount Fuji accessible by vehicle"
Lake Kawaguchi,Tokyo,Japan,lake,tokyo_mount_fuji,"Fujikawaguchiko, Minamitsuru District, Yamanashi","Beautiful lake with Mount Fuji views"
Great Buddha,Tokyo,Japan,statue,tokyo_kamakura_historic,"4 Chome-2-28 Hase, Kamakura, Kanagawa 248-0016","Giant bronze Buddha statue in Kamakura"
Bamboo Forest,Tokyo,Japan,forest,tokyo_kamakura_historic,"Kamakura, Kanagawa","Peaceful bamboo grove walking paths"
Tokyo DisneySea,Tokyo,Japan,theme_park,tokyo_disneysea,"1-1 Maihama, Urayasu, Chiba 279-0031","Unique Disney theme park with nautical theme"
Tokyo National Museum,Tokyo,Japan,museum,tokyo_ueno_cultural,"13-9 Uenokoen, Taito City, Tokyo 110-8712","Japan's largest collection of cultural artifacts"
Ueno Zoo,Tokyo,Japan,zoo,tokyo_ueno_cultural,"9-83 Uenokoen, Taito City, Tokyo 110-8711","Japan's oldest zoo with giant pandas"
Ueno Park,Tokyo,Japan,park,tokyo_ueno_cultural,"Uenokoen, Taito City, Tokyo","Large park famous for cherry blossoms"
Odaiba,Tokyo,Japan,artificial_island,tokyo_bay_odaiba,"Odaiba, Tokyo","Futuristic artificial island with shopping and entertainment"
TeamLab Planets,Tokyo,Japan,digital_art,tokyo_bay_odaiba,"6 Chome-1-16 Toyosu, Koto City, Tokyo 135-0061","Immersive digital art museum"
Promenade des Anglais,Nice,France,promenade,nice_promenade_classic,"Promenade des Anglais, 06000 Nice","Famous seafront promenade along Mediterranean coast"
Hotel Negresco,Nice,France,hotel,nice_promenade_classic,"37 Promenade des Anglais, 06000 Nice","Iconic luxury hotel with distinctive pink dome"
Beach Clubs,Nice,France,beach,nice_promenade_classic,"Various locations along Promenade des Anglais","Exclusive beach clubs with loungers and restaurants"
Cours Saleya Market,Nice,France,market,nice_old_town_vieux,"Cours Saleya, 06300 Nice","Vibrant flower and food market in Old Town"
Old Town Nice,Nice,France,neighborhood,nice_old_town_vieux,"Vieille Ville, 06300 Nice","Charming historic quarter with colorful buildings"
Baroque Churches,Nice,France,church,nice_old_town_vieux,"Various locations in Vieux Nice","Beautiful baroque architecture in Old Town"
Castle Hill Park,Nice,France,park,nice_castle_hill,"Colline du Château, 06300 Nice","Hilltop park with panoramic views and waterfall"
Waterfall,Nice,France,natural_feature,nice_castle_hill,"Colline du Château, 06300 Nice","Hidden waterfall in Castle Hill park"
St. Nicholas Orthodox Cathedral,Nice,France,cathedral,nice_russian_heritage,"Avenue Nicolas II, 06000 Nice","Beautiful Russian Orthodox cathedral with onion domes"
Russian Quarter,Nice,France,neighborhood,nice_russian_heritage,"Around Boulevard Tzarewitch, 06000 Nice","Historic area with Russian heritage buildings"
Musée Matisse,Nice,France,museum,nice_art_museums,"164 Avenue des Arènes de Cimiez, 06000 Nice","Museum dedicated to artist Henri Matisse"
Musée Chagall,Nice,France,museum,nice_art_museums,"Avenue du Docteur Ménard, 06000 Nice","Museum featuring works by Marc Chagall"
Monte Carlo Casino,Nice,France,casino,nice_monaco_monte_carlo,"Place du Casino, 98000 Monaco","World-famous casino in Monaco"
Prince's Palace,Nice,France,palace,nice_monaco_monte_carlo,"98015 Monaco","Official residence of Prince of Monaco"
Monaco Harbor,Nice,France,harbor,nice_monaco_monte_carlo,"Port Hercules, Monaco","Luxury yacht harbor in Monaco"
Cannes Croisette,Nice,France,boulevard,nice_cannes_film,"Boulevard de la Croisette, 06400 Cannes","Famous boulevard along Cannes beachfront"
Palais des Festivals,Nice,France,convention_center,nice_cannes_film,"1 Boulevard de la Croisette, 06400 Cannes","Home of the Cannes Film Festival"
Picasso Museum Antibes,Nice,France,museum,nice_antibes_picasso,"Place Mariejol, 06600 Antibes","Museum in medieval castle displaying Picasso works"
Cap d'Antibes,Nice,France,peninsula,nice_antibes_picasso,"06160 Cap d'Antibes","Scenic peninsula with coastal walks"
Saint-Paul-de-Vence,Nice,France,village,nice_saint_paul_village,"06570 Saint-Paul-de-Vence","Medieval hilltop village with art galleries"
Fondation Maeght,Nice,France,museum,nice_saint_paul_village,"623 Chemin des Gardettes, 06570 Saint-Paul-de-Vence","Modern art museum with sculpture garden"
Grasse Perfume Factories,Nice,France,factory,nice_grasse_perfume,"Various locations in Grasse","Traditional perfume factory tours and workshops"
Lavender Fields,Nice,France,natural_feature,nice_grasse_perfume,"Around Grasse, Provence","Purple lavender fields in season"
Beach Clubs,Nice,France,beach,nice_beach_hopping,"Various locations along Côte d'Azur","Mix of exclusive and public beaches"
Water Sports Centers,Nice,France,sports,nice_beach_hopping,"Various coastal locations","Jet skiing, parasailing, and water activities"
Sentier du Littoral,Nice,France,hiking_trail,nice_coastal_hiking,"Various coastal access points","Coastal hiking path with stunning sea views"
Cap Ferrat,Nice,France,peninsula,nice_coastal_hiking,"06230 Saint-Jean-Cap-Ferrat","Exclusive peninsula with villa gardens and beaches"
Îles de Lérins,Nice,France,islands,nice_iles_lerins,"Islands off Cannes coast","Peaceful islands with monastery and beaches"
Ferry Terminal,Nice,France,transport,nice_iles_lerins,"Cannes Harbor","Departure point for island ferries"
Cooking School,Nice,France,school,nice_nicoise_cuisine,"Various locations in Nice","Learn traditional Niçoise cooking techniques"
Wine Tasting Venue,Nice,France,winery,nice_nicoise_cuisine,"Various locations around Nice","Regional wine tasting experiences"
Belle Époque Villas,Nice,France,architecture,nice_belle_epoque,"Various locations in Nice","Historic villas from the Belle Époque period"
Phoenix Park,Nice,France,park,nice_gardens_parks,"405 Promenade des Anglais, 06200 Nice","Large park with zoo and botanical gardens"
Rooftop Bars,Nice,France,bar,nice_nightlife_entertainment,"Various locations in Nice","Bars with panoramic sea views"
Spa Centers,Nice,France,spa,nice_wellness_spa,"Various luxury hotels in Nice","Wellness and spa treatments"
Vieux-Port,Marseille,France,port,marseille_old_port_deep,"Quai du Port, 13002 Marseille","Historic old port and heart of Marseille"
Fish Market,Marseille,France,market,marseille_old_port_deep,"Quai des Belges, 13001 Marseille","Daily fresh fish market at the old port"
Traditional Boat Rides,Marseille,France,activity,marseille_old_port_deep,"Vieux-Port, Marseille","Traditional boat tours around the harbor"
Notre-Dame de la Garde,Marseille,France,basilica,marseille_notre_dame_garde,"Rue Fort du Sanctuaire, 13281 Marseille","Iconic basilica overlooking the city"
Panoramic Viewpoint,Marseille,France,viewpoint,marseille_notre_dame_garde,"Notre-Dame de la Garde","Best panoramic views of Marseille"
Le Panier,Marseille,France,neighborhood,marseille_le_panier,"Le Panier, 13002 Marseille","Historic quarter with street art and artisan shops"
Street Art Walls,Marseille,France,street_art,marseille_le_panier,"Various locations in Le Panier","Colorful murals and street art installations"
Château d'If,Marseille,France,castle,marseille_chateau_if,"20007 Marseille","Island fortress made famous by Count of Monte Cristo"
Ferry to If,Marseille,France,transport,marseille_chateau_if,"1 Quai de la Fraternité, 13001 Marseille","Ferry departure point to Château d'If"
Abbey of Saint-Victor,Marseille,France,abbey,marseille_abbey_saint_victor,"3 Rue de l'Abbaye, 13007 Marseille","Ancient abbey with 5th-century crypts"
Crypts,Marseille,France,historical_site,marseille_abbey_saint_victor,"Abbey of Saint-Victor","Ancient underground crypts and artifacts"
MuCEM,Marseille,France,museum,marseille_mucem_modern,"7 Promenade Robert Laffont, 13002 Marseille","Museum of European and Mediterranean Civilizations"
Modern Architecture,Marseille,France,architecture,marseille_mucem_modern,"Fort Saint-Jean area","Contemporary architectural landmarks"
Noailles Market,Marseille,France,market,marseille_markets_noailles,"Noailles district, Marseille","Multicultural market with North African influences"
Spice Shops,Marseille,France,shop,marseille_markets_noailles,"Various locations in Noailles","Traditional spice merchants and exotic ingredients"
Contemporary Art Centers,Marseille,France,gallery,marseille_art_galleries,"Various locations in Marseille","Modern and contemporary art exhibitions"
Artist Studios,Marseille,France,studio,marseille_art_galleries,"Various locations in Marseille","Working artist studios and galleries"
North African Quarter,Marseille,France,neighborhood,marseille_multicultural,"Various districts in Marseille","Areas with strong North African cultural influence"
International Restaurants,Marseille,France,restaurant,marseille_multicultural,"Various locations in Marseille","Diverse world cuisine reflecting multicultural city"
Calanques National Park,Marseille,France,national_park,marseille_calanques_park,"13009 Marseille","Dramatic limestone cliffs and hidden coves"
Hiking Trails,Marseille,France,trail,marseille_calanques_park,"Various access points","Scenic coastal hiking paths"
Cassis Village,Marseille,France,village,marseille_cassis_trip,"13260 Cassis","Picturesque fishing village east of Marseille"
Boat Tours,Marseille,France,activity,marseille_cassis_trip,"Cassis Harbor","Boat trips to explore the Calanques from sea"
Corniche Kennedy,Marseille,France,coastal_road,marseille_corniche_kennedy,"Corniche President John F Kennedy, Marseille","Scenic coastal drive with sea views"
Coastal Beaches,Marseille,France,beach,marseille_corniche_kennedy,"Various points along Corniche","Rocky coves and small beaches along the coast"
Aix-en-Provence,Marseille,France,city,marseille_aix_provence,"13100 Aix-en-Provence","Elegant university town north of Marseille"
Cézanne Studios,Marseille,France,studio,marseille_aix_provence,"9 Avenue Paul Cézanne, 13100 Aix-en-Provence","Former studio of painter Paul Cézanne"
Prado Beaches,Marseille,France,beach,marseille_beach_day,"Avenue du Prado, 13008 Marseille","Main sandy beaches of Marseille"
Beach Sports,Marseille,France,sports,marseille_beach_day,"Prado beaches","Beach volleyball, water sports activities"
Bouillabaisse Restaurant,Marseille,France,restaurant,marseille_bouillabaisse_seafood,"Various locations in Marseille","Traditional restaurants serving authentic bouillabaisse"
Seafood Market,Marseille,France,market,marseille_bouillabaisse_seafood,"Vieux-Port","Fresh seafood market for ingredients"
Stade Vélodrome,Marseille,France,stadium,marseille_football_culture,"3 Boulevard Michelet, 13008 Marseille","Home stadium of Olympique de Marseille"
Football Fan Bars,Marseille,France,bar,marseille_football_culture,"Various locations near stadium","Bars popular with football supporters"
Marseille Soap Factory,Marseille,France,factory,marseille_soap_crafts,"Various locations in Marseille","Traditional soap factory tours and workshops"
Artisan Workshops,Marseille,France,workshop,marseille_soap_crafts,"Various locations in Marseille","Traditional craft demonstrations and classes"
Cours Julien,Marseille,France,street,marseille_nightlife_bars,"Cours Julien, 13006 Marseille","Trendy street with bars and nightlife"
Live Music Venues,Marseille,France,venue,marseille_nightlife_bars,"Various locations in Marseille","Bars and clubs with live music performances"
Provence Vineyards,Marseille,France,vineyard,marseille_provence_wine,"Various locations in Provence","Regional wine estates and tasting rooms"
Wine Châteaux,Marseille,France,winery,marseille_provence_wine,"Various locations in Provence","Historic wine estates offering tours and tastings"
